worker_id,approval
A10LLZZHZVGWRW,100.0
A19TL7AJ0FB1JG,100.0
A1CVM8I2566ILI,99.0
A1EWWETFXX1U51,100.0
A1FGKIKJYSL1MI,100.0
A1RUURPQJ14A8X,100.0
A1TPCNI0K1EVYD,100.0
A1ZGQC0J00M69W,100.0
A20I3A6VWC2T5C,100.0
A24IF41IP6LT55,100.0
A2CLSASUR08Z0O,100.0
A2DC6TG86OSCRK,100.0
A2F9V69F6TZIAB,100.0
A2HR7ZIX42FEPG,100.0
A2HTN7HCNBQ8V4,100.0
A2I6ZS386UJVJE,99.0
A2LFVJ28A2J2PK,100.0
A2OW2CIT4H7364,100.0
A2RCYLKY072XXO,100.0
A2U31V169A20GY,100.0
A2UF2FRGVW4T89,98.0
A2WNW8A4MOR7T7,99.0
A2YKW761AK4ZGY,100.0
A2ZRF4I5RTKN7G,100.0
A34QZDSTKZ3JO9,100.0
A37CE37LHUN8M6,100.0
A37WDOIQH6JM6V,100.0
A3CFNUD7VR2E1E,100.0
A3GNQDFPZALU92,100.0
A3GUJ6JD25FX7O,100.0
A3H0TLQC53H5MB,100.0
A3P57IUDHUKNCE,100.0
A3RS7UCO7CQ74R,100.0
AD8FN7L0ZV67G,100.0
AIQT0DPRTXYYD,100.0
ARYYSG1HT2UDX,100.0
AYJGJAIY0EXW,100.0
